number,coformer1,coformer2
1176,Cc1ccc(/C2=c3\cc/c([nH]3)=C(\c3ccccc3)C3=N/C(=C(c4ccccc4)\C(c4ccccc4)=C4/C=CC(=N4)/C(c4ccccc4)=c4/cc/c([nH]4)=C(\c4ccc(C)cc4)c4ccc2o4)C=C3)cc1,COc1ccc([C@H]2c3ccccc3C(=O)N2C)cc1
1177,O=C(O)CCC(=O)O,O=C(O)/C=C/C(=O)O
1178,C/C=C/c1c(O)c(OC)cc2c1[C@@](C)(NP(=O)(c1ccccc1)c1ccccc1)C(=O)O2,c1cc(-c2ccncc2)ccn1
1179,CCO[P@@]1(=O)N=C(C(F)(F)C(F)(F)F)NC(C(F)(F)C(F)(F)F)=C1c1ccccc1,COC(=O)c1cc(O)c(O)c(O)c1
1180,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,C1=CSC(=C2SC=CS2)S1
1181,COc1ccc(/C=C/c2ccncc2)cc1,COc1ccc2c(c1)C(=O)N([C@H](CO)CC(C)C)[C@H](C(=O)NC(C)(C)CC(C)(C)C)c1sccc1-2
1182,Fc1c(F)c(I)c(F)c(F)c1I,O=C(O)CCCCCCC(=O)O
1183,NC(=O)c1ccc(Br)cc1,C1N2CN3CN1CN(C2)C3
1184,COc1cccc(CNc2ccc(C(=O)O)cc2)c1O,N#CN
1185,COC(=O)C1=C(C(=O)OC)[C@H](C(=O)OC)[C@@H](C(=O)OC)N2C(=C1)Sc1ccccc12,O=C1CCC(C2CCC(=O)CC2)CC1
1186,Cc1c(O)cccc1O,O=C1CCCCCN1
1187,CCOC(=O)N1c2ccc(C)cc2[C@@]2(CCCN2S(=O)(=O)c2ccc(C)cc2)[C@H]1OC,COc1ccc(C(=O)[C@H](Nc2cccc(C(F)(F)F)c2)c2ccc(OC)cc2)cc1
1188,C=C1[C@@H](C(=O)OCC)N(C2CCCCC2)[C@H](c2ccccc2)[C@@H]1c1nnnn1Cc1ccccc1,CC1(C)CC(=O)C2=C(C1)C(=O)[C@H]1CO[C@@H]3OC(=O)C[C@@]231
1189,O=C(O)CNC(=O)C(=O)NCC(=O)O,N#C[C@@]12c3ccccc3-c3ccccc3[C@@H]1[C@H]1OC=C[C@H]12
1190,COc1cc(C(=O)O)cc(OC)c1O,CO[C@H]1C[C@@]23[C@@H]1c1ccccc1[C@@H]2[C@H]1c2ccccc2[C@@H]2[C@@H](OC)C[C@@]213
1191,O=C(O)CCC(=O)O,CO[C@@]12C=C(c3ccccc3)[C@@H](O1)c1ccccc1C2
1192,Cc1ccc(-n2c(-c3cccnc3)cc3c2cc(-c2cccnc2)n3-c2ccc(C)cc2)cc1,C1=CSC(=C2SC=CS2)S1
1193,C[C@@H]1NC2(CCN(C)CC2)N(O)C1=O,O[C@H]([C@@H](O)C(O)(c1ccccc1)c1ccccc1)C(O)(c1ccccc1)c1ccccc1
1194,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12,CNC(=S)N/N=C(\C)c1ccc(O)cc1O
1195,COc1cc(C(=O)O)cc(OC)c1O,Oc1c(O)c(Br)c(Br)c(Br)c1Br
1196,CC1=NN(C(N)=S)[C@](O)(C(F)(F)F)/C1=N\Nc1ccc(C)cc1,Cc1nc(C)c(C)nc1C
1197,Oc1ccc(-c2cc(-c3ccc(O)cc3)cc(-c3ccc(O)cc3)c2)cc1,c1ccc2[nH]nnc2c1
1198,NC(N)=O,[C-3]C#N
1199,COc1ccc(N2C3=C(C(=O)OC3=O)N(Cc3ccccc3)c3ccc(OC)cc3[C@@H]2c2ccccc2)cc1,O=c1cc2ccccc2c[nH]1
1200,O=C(O)C(=O)O,O=C(O)CCCCC(=O)O
1201,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54,NC(=O)c1ccccn1
1202,COC(=O)C1=CCCC[C@@H]1c1cn(C)c2ccccc12,C[C@H]1CN(C[C@H](COS(C)(=O)=O)OS(C)(=O)=O)C(=O)NC1=O
1203,CC[C@H](C)C(=O)N1CCc2cc(OC)c(OC)cc2[C@H]1C#N,O=S1(=O)[C@H]2C=C[C@@H](c3ccccc3)C[C@H]2CCN1Cc1ccc(Cl)cc1
1204,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41,NC(=O)c1ccncc1
1205,O=C1c2ccccc2[C@H](O)N1CO,Cc1ccc(S(=O)(=O)n2ccc3ccc([C@@H](CC(=O)Nc4cccc5cccnc45)Cc4cn(C)c5ccccc45)cc32)cc1
1206,C1#COC#CO1,C=C1C[C@H]2[C@H](C)CO[C@H]2[C@@H]2CCCC[C@]12O
1207,O=C(O)c1cccc(F)c1,CCN(C(=O)N(CC)c1ccc(N(CC)C(=O)N(CC)c2ccc(C(=O)O)cc2)cc1)c1ccc(C(=O)O)cc1
1208,CN1C(=O)[C@@]2(C(C#N)=C(N)n3c(N)nc(-c4ccccc4)c32)c2ccccc21,Cn1nnc2c(C(N)=O)ncn2c1=O
1209,CC(=O)O[C@@H](CO)[C@@H]1O[C@@H](OC(C)=O)[C@]2(O)CCCC[C@@]12OC(C)=O,C1COCCOCCOCCOCCOCCO1
1210,O=C1c2ccccc2[C@H](O)N1CO,OC(c1cccc(C(O)(C(F)(F)F)C(F)(F)F)c1)(C(F)(F)F)C(F)(F)F
1211,Oc1ccccc1,C1COCCOCCOCCOCCOCCO1
1212,CC(=O)N(c1c(C)cc(C)cc1I)[C@@H]1C=CCCC1,O=C(O)c1c(F)c(F)c(F)c(F)c1F
1213,CCCCCCCCn1cc(C)c(=O)[nH]c1=O,CNC(=O)C[C@@H]1N(C)C(=O)OC12c1ccccc1C=Cc1ccccc12
1214,Cc1c[nH]c(=O)[nH]c1=O,Fc1c(F)c(I)c(F)c(F)c1I
1215,Cc1ccc(C(=O)[C@](C)(O)[C@@H](O)C(F)(F)F)cc1,CC(=O)Oc1ccccc1C(=O)O
1216,O=C(O)c1cc(F)c(F)cc1F,C[C@]12C[C@@]3(c4ccc(Br)cc4)O[C@](C)(C[C@@]3(c3ccc(Br)cc3)O1)O2
1217,O=C(O)C(=O)O,C1#COC#COC#COC#COC#COC#CO1
1218,O=C(O)CNC(=O)NCC(=O)O,CCOC(=O)C1=NN(c2ccc(C)cc2)[C@@H]2Nc3ccccc3C(=O)N(C)N12
1219,O=c1cc[nH]cc1,COc1ccc(C(=O)O)cc1
1220,C[C@@H]1CCCC(=O)O1,N[C@H]1CCC[C@@H](N)C1
1221,CC1=N[C@]2(C(=O)N(Cc3ccccc3)c3ccccc32)[C@H](c2ccccc2)C1,Fc1c(F)c(I)c(F)c(F)c1I
1222,CCOC(=O)c1sc2c(c1-c1ccccc1)N1C=CC=C[C@H]1C(C(=O)OC)=C(C(=O)OC)S2,CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1
1223,Cc1c(N(C)C)c(=O)n(-c2ccc(Br)cc2)n1C,C1COCCOCCOCCOCCOCCO1
1224,OC1(c2ccccc2-c2ccccc2C2(O)c3ccccc3-c3ccccc32)c2ccccc2-c2ccccc21,Cc1cc(CN2CCOCC2)c(O)c([C@@H]2C[C@H]3CC[C@]2(C)C3(C)C)c1
1225,CCOC(=O)[C@@H]1CN(c2ccccc2)/C(c2ccccc2)=N\N(c2ccccc2)/N=C\1c1ccccc1,Fc1c(F)c(I)c(F)c(F)c1I
1226,O=C(O/C(=C\c1nc2ccccc2s1)c1ccccc1)c1ccccc1,O=C(O)c1cc(I)cc(I)c1O
1227,O=C1C=Cc2ccccc2/C1=C/Nc1ccccn1,COc1ccc(C2=NO[C@]3(N4CCCC4)c4ccccc4[C@@H](c4ccccc4)[C@H]23)cc1
1228,c1cc(-c2ccncc2)ccn1,IC1=C(I)SC(=C2SC3=C(SCCS3)S2)S1
1229,CNC(=S)c1ccccc1N1CCO[P@@]1(=S)c1ccc(OC)cc1,Cc1ccc(SC(=O)[C@H](Sc2ccc(C)cc2)[C@@H](Sc2ccc(C)cc2)C(=O)Sc2ccc(C)cc2)cc1
1230,O=C(O)c1cc(C(=O)O)c(O)c(C(=O)O)c1,CCOC(=O)C[C@@]1(C(=O)OCC)N(C)C[C@H](C(=O)c2ccccc2)[C@@]12C(=O)N(Cc1ccccc1)c1ccc(F)cc12
1231,CCN(CC)C(=O)[C@@]1(C)[C@H](c2c(Cl)cccc2Cl)[C@H]2[C@@H]3C(=O)N(c4ccccc4)C(=O)[C@@H]3ON21,C1CN2CN3CCN(CN1C3)C2
1232,CCCC[C@H]1OC(=O)c2ccc3ccccc3c2O1,O=C(N1C[C@@]23C=C[C@@H](O2)[C@H]2[C@H]4O[C@](C1)(C(C(F)(F)F)=C4C(F)(F)F)[C@H]23)C(F)(F)F
1233,c1cc(CCCc2ccncc2)ccn1,CC[C@H](C)[C@H]1O/C(=N\OCc2ccccc2)[C@H]([C@H](C)CC)N(OCc2ccccc2)C1=O
1234,O=C1OC[C@H]2C=C3c4ccccc4CC[C@H]3[C@@H](c3cc(Br)cc(Br)c3)[C@@H]12,C1N2CN3CN1CN(C2)C3
1235,Cc1nc(N)nc(N)n1,c1cc(-c2ccncc2)ccn1
1236,O=C1[C@H]2CCC[C@@H]1[C@H](N1CCOCC1)C[C@@H]2c1ccccc1,c1cc(-c2ccncc2)ccn1
1237,O=C1N[C@@H](c2cccc(Cl)c2)Nc2ccccc21,COc1ccc(N2C3=C(C(=O)OC3=O)N(Cc3ccccc3)c3ccc(OC)cc3[C@@H]2c2ccccc2)cc1
1238,COc1ccc(CCNC(=O)COc2cccc3cccnc23)cc1,C/C(=C/[C@H]1[C@@](C)(C(=O)O)[C@H]([C@H]2[C@@](C)(C(=O)O)[C@H](/C=C(/C)C(=O)O)[C@]2(C)C(=O)O)[C@]1(C)C(=O)O)C(=O)O
1239,O=C1c2ccccc2[C@@]2(C(=O)Nc3ccccc3O)CCCN12,c1cc(CCCc2ccncc2)ccn1
1240,O=C(O)CCCCCCC(=O)O,c12c3c4c5c1c1c6c7c2c2c8c3c3c9c4c4c%10c5c5c1c1c6c6c%11c7c2c2c7c8c3c3c8c9c4c4c9c%10c5c5c1c1c6c6c%11c2c2c7c3c3c8c4c4c9c5c1c1c6c2c3c41
1241,Cc1cc(O)cc(O)c1,NC(=S)NNc1ccccc1
1242,O=C1NCCN1,C(#Cc1c2c(c(-c3ccccc3)c3ccccc13)C(c1ccccc1)=C[C@H]2c1ccccc1)c1ccccc1
1243,C[C@H]1C[C@@]23C=C[C@@H](CC2)C[C@@H]3S(=O)(=O)O1,C1CC[C@H]2OCCOCCO[C@@H]3CCCC[C@@H]3OCCOCCO[C@H]2C1
1244,O=C(O)c1ccccc1C(=O)O,BrC(Br)=C=C=C(Br)Br
1245,NC(=O)NC(N)=O,CC[C@H](C)O
1246,Cc1cc(=O)nc(NC(=O)N[C@@H](C)CCC[C@H](C)NC(=O)Nc2nc(=O)cc(C)[nH]2)[nH]1,O=C(O)[C@@H](O)[C@@H](O)C(=O)O
1247,CC(=O)Oc1ccccc1C(=O)O,NC(=S)N/N=C/c1ccc(O)cc1O
1248,Fc1c(F)c(I)c(F)c(F)c1I,CC(C)(C)[C@H]1[C@H](C(C)(C)C)[Si]([Si](C)(C)C)([Si](C)(C)C)[Si]1([Si](C)(C)C)[Si](C)(C)C
1249,Oc1c(F)c(F)c(O)c(F)c1F,Oc1ccc(SSc2ccc(O)cc2)cc1
1250,COc1ccc2c(c1)[C@](O)([C@@H]1CCCCC1=O)C(=O)N2,NNC(=O)c1ccncc1
1251,CC[C@@H](c1nnn[nH]1)S(=O)(=O)c1ccc(OC)cc1,CC(C)(C)N1C(=O)[C@@H]2N(c3ccccc3)C(=O)/C(=C/c3ccccc3)[C@@]23c2ccccc2N[C@@H]13
1252,Cn1c(=O)c2c(ncn2C)n(C)c1=O,c1c[nH]c(-c2ncc[nH]2)n1
1253,c1ccc2nc3ccccc3cc2c1,c1ccc2ccccc2c1
1254,O=C(O)c1ccc(OCc2cccc(C(=O)O)c2)cc1,CN(C(=O)C(=O)[C@H](Cl)c1ccc(Cl)cc1)c1ccccc1
1255,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,Cn1c(=O)c2[nH]cnc2n(C)c1=O
1256,CCOC(=O)c1cn[nH]c1N/N=C1/C(C)=NN(C(=O)c2ccncc2)[C@@]1(O)C(F)(F)F,CC1=CC(=O)C(C)=CC1=O
1257,C/C=C/c1c(O)c(OC)cc2c1[C@@](C)(NP(=O)(c1ccccc1)c1ccccc1)C(=O)O2,c1cc(-c2ccncc2)ccn1
1258,CC(=O)OC1=C[C@@]2(OC(C)=O)CC[C@@H]1[C@H]1C(=O)C=CC(=O)[C@H]12,CN1CCN(CC2=C3C[C@H]4N5C(=C(CN6CCN(C)CC6)C4(C)C)C[C@@H](N35)C2(C)C)CC1
1259,C[C@H](C(=O)N/N=C/c1ccccc1O)c1ccc(-c2ccccc2)c(F)c1,c1cc(-c2ccncc2)ccn1
1260,C[C@]1(c2ccccc2)N=CC(c2ccccc2)=N1,O=C1C(Br)=C(Br)C(=O)C(Br)=C1Br
1261,c1cc2ccc3cccc4ccc(c1)c2c34,O=C(O)CCCCC(=O)O
1262,Oc1ccccc1,O=C(O)c1cc2ccccc2cc1O
1263,CN(C)c1ccc(C#C[C@]2(C)C[C@@]3(C)C[C@@](C)(C2)C(=O)NC3=O)cc1,CC(=O)Nc1nnc(S(N)(=O)=O)s1
1264,COC(=O)C(=O)C[C@@H](c1ccccc1)[C@@]1(Cl)C(=O)Nc2ccccc21,C[C@@H](/N=C/c1ccccc1O)C12CC3CC(CC(C3)C1)C2
1265,O=c1c2cc3c(=O)n(Cc4ccncc4)c(=O)c3cc2c(=O)n1Cc1ccncc1,O=C(O)CCCCCC(=O)O
1266,N#Cc1ccncc1,COC(=O)[C@]1(O)[C@H](C(=O)c2ccccc2)[C@@H](c2ccccc2)NC(=S)N1c1ccccc1
1267,Cc1cc(=C(C#N)C#N)c(C)cc1=C(C#N)C#N,COc1ccc([C@H]2[C@H](C(=O)O)Cc3ccccc3C(=O)N2C(C)C)cc1
1268,O=C1C(=O)C(Cl)=C(Cl)C(Cl)=C1Cl,c1cc(-c2ccncc2)ccn1
1269,O=C(O)/C=C/C(=O)O,C[C@@H](O)[C@@H]1CC(=O)OCCO[C@@]2(C)CCCC[C@H]2CCCC(=O)O1
1270,O=C(O)c1cc(O)ccc1O,c1ccc2ccccc2c1
1271,Oc1ccc(O)cc1,COC(=O)[C@@H](Br)C([C@H](Br)C(=O)OC)[C@H](Br)C(=O)OC
1272,Cc1ccc(/C2=c3\cc/c([nH]3)=C(\c3ccccc3)C3=N/C(=C(c4ccccc4)\C(c4ccccc4)=C4/C=CC(=N4)/C(c4ccccc4)=c4/cc/c([nH]4)=C(\c4ccc(C)cc4)c4ccc2o4)C=C3)cc1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1
1273,OCCCCCCO,CC(=O)N1N=C(c2ccccc2)C[C@H]1c1c2ccccc2cc2ccccc12
1274,Cc1c(CO)ccc2c1C(=O)[C@@H]1[C@@H]2C[C@H](Br)[C@@]23O[C@@H](C[C@@]12C)[C@@H]1OC(C)(C)O[C@@H]13,c1ccc2c(c1)Nc1ccccc1S2
1275,C#C[C@]1(O)C=C[C@@](O)(C#C)c2cc3ccccc3cc21,O=C1Nc2cc(Cl)ccc2N(Cc2ccccc2)[C@@H]1c1c[nH]c2ccccc12
1276,C(#Cc1ccccc1)c1ccccc1,CCC1(CC)C(=O)NC(=O)NC1=O
1277,Oc1ccc(F)cc1,O
1278,O=C(O)CCCCC(=O)O,O=C1C(O)=C(Br)C(=O)C(O)=C1Br
1279,COc1ccc([C@]23Oc4cc(OC)cc(OC)c4[C@](O)([C@H](c4ccccc4)[C@H]2/C=C/c2ccccc2)[C@H]3OC(=O)c2ccc(Br)cc2)cc1,O=C(O)[C@H](O)c1ccccc1
1280,COc1ccc([C@]23Oc4cc(OC)cc(OC)c4[C@](O)([C@H](c4ccccc4)[C@H]2/C=C/c2ccccc2)[C@H]3OC(=O)c2ccc(Br)cc2)cc1,Oc1ccc(/N=C/c2ccccc2O)cc1
1281,Cc1nc(C)c(C)nc1C,C=C[C@@H]1C[C@]2(C(=O)OC)C(=O)Nc3ccccc3[C@@H]2[C@H]1N
1282,NC(N)=O,CP(=O)(c1ccccc1)c1ccccc1
1283,O=C(O)CCC(=O)O,C1#CSC(=C2SC#CS2)S1
1284,Cc1c2nc(n1C)[C@H](C)NC(=O)c1nc(n(C)c1C)[C@H](C)NC(=O)c1nc(n(C)c1C)[C@H](C)NC(=O)c1nc(n(C)c1C)[C@H](C)NC2=O,CNC(=S)N/N=C/c1ccc(O)cc1O
1285,CC1(C)O[C@@H](C(O)(c2ccccc2)c2ccccc2)[C@H](C(O)(c2ccccc2)c2ccccc2)O1,ClC(Cl)Cl
1286,COC(=O)[C@@H]1[C@@H](C(F)(F)F)[C@H](S(=O)(=O)c2ccc(C)cc2)C(=O)N1Cc1ccccc1,c1cc([C@H]2[C@H](c3ccncc3)[C@H](c3ccncc3)[C@H]2c2ccncc2)ccn1
1287,c1ccc(-c2ccc([C@@H](Sc3nc4ccccc4s3)c3ccccc3)o2)cc1,COc1cc2c(OC)cc1CSCc1ccc(cc1)CSC2
1288,COc1ccc([C@@H](c2ccccc2)c2cnc(-c3ccccc3)n2-c2ccccc2)cc1,C[Si](C)(C)[C@H]1C[C@@H]2CCC=C[C@](O)(C1)C2
1289,O=C(N/N=C(/c1ccnc(Cl)c1)c1c(-c2ccccc2)nn(-c2ccccc2)c1O)Nc1ccccc1,Fc1c(F)c(I)c(F)c(F)c1I
1290,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,CCCCC[C@H]1c2cc3c4cc2OCOc2c1cc1c(c2Br)OCOc2cc5c(cc2[C@H]1CCCCC)[C@H](CCCCC)c1cc(c(c(Br)c1OCO5)OCO4)[C@@H]3CCCCC
1291,Clc1nc(Cl)nc(Cl)n1,CCC(C(=O)O)C(=O)O
1292,CN1C(=O)CCS(=O)(=O)[C@@H]1c1ccc(Cl)cc1,O[C@@H]1C=CCSC1(C(F)(F)F)C(F)(F)F
1293,O=c1[nH]c(=O)c2cc3c(=O)[nH]c(=O)c3cc12,CN1C(=O)[C@@]2(C(C#N)=C(N)n3c(N)nc(-c4ccccc4)c32)c2ccccc21
1294,C(=C/c1ccncc1)\c1ccncc1,C1CN2CCN1CC2
1295,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61,Cc1ccc(S(=O)(=O)N2C(=O)O[C@@H](C)c3ccccc32)cc1
1296,Cc1cc(=O)n(-c2ccccc2)n1C,Oc1ccc2ccccc2c1-c1c(O)ccc2ccccc12
1297,O=c1cc(-c2ccccc2)oc2ccccc12,O=C1NC(=O)C(=NO)C(=O)N1
1298,O=P(c1ccccc1)(c1ccccc1)c1ccccc1,CCCCCCCCCC[C@@H]1O[C@]2(C=CC(=O)O2)[C@H]1O
1299,COc1ccc2c(c1)[C@]1(C[C@H](C(C)(C)C)N2)OCc2ccccc21,O=Cc1ccccc1[C@H](C(=O)c1ccccc1)[C@H]1OC(c2ccccc2)=Cc2ccccc21
1300,CC[C@@H]1CCCCN1,ClC1=C(Cl)[C@@]2(Cl)[C@@H](Br)[C@H](Br)[C@@]2(Cl)C1(Cl)Cl
1301,O=C(O)/C=C/C=C/C(=O)O,FC(F)(F)[C@@H](/C(Br)=C(/Br)c1ccc(Cl)cc1)c1ccccc1
1302,C1CNCCN1,CC1(C)c2ccc(cc2)OP2Oc3ccc(cc3)C(C)(C)c3cccc(c3)C(C)(C)c3ccc(cc3)OP(Oc3ccc(cc3)C(C)(C)c3cccc1c3)Oc1ccc(cc1)C(C)(C)c1cccc(c1)C(C)(C)c1ccc(cc1)O2
1303,O=C(O)c1cc(C(=O)O)c(C(=O)O)cc1C(=O)O,COC(=O)C[C@@H]1c2ccc(C)cc2C(=O)[C@H]1c1ccccc1
1304,COC(=O)C1=CC[C@@]2(C(=O)OC)C(=O)OC(c3ccccc3)=C[C@@H]12,CCOC(=O)[C@]12ON=C(c3ccc(Br)cc3)[C@H]1C[C@@]1(C(=O)OCC)[C@@H]2CN2C(=O)N(Cc3ccc(OC)cc3)c3ccc(Br)cc3[C@]21C(F)(F)F
1305,CC(C)(C)O[C@H]1C2=C(O)CCC[C@@]2(C)CCC1(c1ccccc1)c1ccccc1,CC(=O)/C(=C(/C)O)[C@@H]1c2ccccc2C(=O)N1Cc1ccccc1
1306,CCCC1(CCC)O[C@@]2(CO)CCC[C@]1(C(=O)NC)C2,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21
1307,Nc1ncccn1,C[C@@H]1CCCC(=O)O1
1308,c1cc(-c2ccncc2)ccn1,C1CNCCN1
1309,NC(N)=O,CC(C)[Si](C1=C2[C@@H]3CCC4=CC(=O)[C@H](C1=O)[C@@]42CO3)(C(C)C)C(C)C
1310,c1ccc2ccccc2c1,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
1311,COC(=O)[C@H]1[C@H]2c3c(OC)c4c(c(OC)c3[C@H](c3c(OC)c5c(c(OC)c32)[C@H]2C=C[C@@H]5CC2)[C@@H]1C(=O)OC)[C@H]1C=C[C@@H]4CC1,CN1C(=O)[C@@H](n2cccc2)c2ccccc21
1312,O=C(O)CCCCCCCCC(=O)O,CCO[P@@]1(=O)N=C(C(F)(F)C(F)(F)F)NC(C(F)(F)C(F)(F)F)=C1c1ccccc1
1313,N[C@H]1CCCCNC1=O,c1cc(-c2ccncc2)ccn1
1314,NC(=O)c1ccncc1,C[C@H]1C[C@@]23C=C[C@@H](CC2)C[C@@H]3S(=O)(=O)O1
1315,c1cc(-c2ccncc2)ccn1,BrC#CC#CBr
1316,COCOc1ccc2c3c(ccc(OC)c13)[C@@]1(C=CC(=O)c3c(OC)cccc31)[C@@H]2c1ccccc1C(C)=O,c1cnc2ccc3ncccc3c2c1
1317,CSC1=NC(C)=NC(=O)C1=P(c1ccccc1)(c1ccccc1)c1ccccc1,Cc1nc2ccccc2nc1C
1318,[C-3]C([C-3])([C-3])C[Si]1(CC([C-3])([C-3])[C-3])c2c3c#cc#cc3c(c3c#cc#cc23)[Si]1(CC([C-3])([C-3])[C-3])CC([C-3])([C-3])[C-3],COc1ccc(C(=O)[C@H](Nc2cccc(C(F)(F)F)c2)c2ccc(OC)cc2)cc1
1319,CCN1C(=S)S/C(=C2/SC(=S)N(CC)C2=S)C1=S,O=C(O)c1ccc(Cl)cc1
1320,COc1ccc([C@@H]2C3=C(CC(C)(C)CC3=O)O[C@H]2N(OC(=O)OC(C)C)C(=O)OC(C)C)cc1,O=C(O)c1ccc(I)cc1
1321,Cc1ccc([C@@]2(O)C(=O)O[C@@H]3[C@@H](O)CO[C@@]32O)o1,N#Cc1c(F)c(F)c(C#N)c(F)c1F
1322,IC1=C(I)SC(=C2SC3=C(SCCS3)S2)S1,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
1323,O=C(NC(c1ccccc1)(c1ccccc1)c1ccccc1)NC(c1ccccc1)(c1ccccc1)c1ccccc1,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
1324,C[C@@]12C[C@H](O)[C@H](O)[C@H]1OC[C@H](O)[C@@H]2O,CC(C)(C)OC(=O)N[C@@H]1CC[C@@H](I)[C@H]2CC[C@@H]1C(=O)O2
1325,CC(C)(C)OC(=O)NCC(=O)N[C@@](C)(Cc1ccccc1)C(=O)NC(C)(C)C(=O)NCC(=O)NC(C)(C)C(=O)N[C@@H](Cc1ccccc1)C(=O)OC(C)(C)C,Fc1c(F)c(F)c(Cl)c(F)c1F
1326,O=C(O)CCC(=O)O,C[C@](O)(C(=O)O)[C@@](C)(O)C(=O)O
1327,COc1ccccc1OC,C1CC[C@H]2OCCOCCO[C@@H]3CCCC[C@@H]3OCCOCCO[C@H]2C1
1328,O=C(O)CCCC(=O)O,Fc1c(F)c(F)c(-c2c(F)c(F)c(-c3c(F)c(F)c(F)c(F)c3I)c(F)c2F)c(I)c1F
1329,c1ccc(CN2c3ccccc3CN(c3ccccc3)[C@H]2c2ccccc2)cc1,Cc1c(O)cccc1O
1330,Cc1nccnc1C,c1cncc(Cn2ccnc2-c2nccn2Cc2cccnc2)c1
1331,CP(=O)(c1ccccc1)c1ccccc1,CCOC(=O)c1c([C@H](F)OC(F)(F)F)noc1N
1332,C1COCCOCCOCCOCCOCCO1,c1cc2cccc3c4cccc5cccc(c(c1)c23)c54
1333,O[C@H]1CCN(Cc2ccccc2)C1,O=C(O)c1ccc(C(=O)O)cc1
1334,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,COC(=O)C1=C(C(=O)OC)[C@@H]2c3cccc(OC)c3[C@H]1c1cccc(OC)c12
1335,CC[C@H]1NC(=O)N(Cc2ccccc2OC)[C@H]1c1ccccc1,Oc1ccc(-c2ccc(O)cc2)cc1
1336,c1ccc2c(c1)-c1cccc3cccc-2c13,O=C1[C@H]2CCc3c(ncn3C(c3ccccc3)(c3ccccc3)c3ccccc3)[C@H]2C(=O)N1c1ccccc1
1337,N#Cc1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc5c(c4)OCO5)C(=O)[C@H]3[C@@H]3C[C@@H](O)CN32)cc1,O=C(O)CCC(=O)O
1338,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,Cc1cc(-c2c(C)[nH]n(-c3ccccc3)c2=O)n[nH]1
1339,c1cc(-c2ccncc2)ccn1,CCC1=C(CC)C[C@H]2CC(C#N)(C#N)[C@@H](c3ccccc3)C[C@H]2C1
1340,O=C(O)CCCCCCCCC(=O)O,O
1341,COc1ccc(/C=C/C(=O)O)cc1,CCCCOCCO
1342,CO[C@@H]1c2c(c(Br)c3ccccc3c2Br)[C@@H](O)[C@H](Br)[C@@H]1Br,Fc1c(F)c(F)c(I)c(F)c1F
1343,CCOc1ccc(C(=O)O)cc1,COc1cc2c(OC)cc1CSCc1ccc(cc1)CSC2
1344,CC(=O)Oc1ccccc1C(=O)O,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@H]3[C@H](C[C@H](O)[C@@]21C)[C@@]1(C)CC[C@@H](O)C[C@H]1C[C@H]3O
1345,O=C1C(=O)C(Cl)=C(Cl)C(Cl)=C1Cl,CC(C)(C)c1cc(O)c(O)c(C(C)(C)C)c1
1346,C[C@@H]1C/C(=C/N2CCOC2=O)[C@H]1c1ccccc1,O=C(O)c1cccc(I)c1
1347,O=C(O)/C=C/C(=O)O,O=C(O)CCCCC(=O)O
1348,C#Cc1ccc(C#C)cc1,Nc1nc(N)nc(CO)n1
1349,c1cnccn1,c1cc(CCc2ccncc2)ccn1
1350,c1ccc2c3c4ccccc4c(c2c1)-c1c2ccccc2c(c2ccccc12)-c1c2ccccc2c(c2ccccc12)-c1c2ccccc2c-3c2ccccc12,O=c1c2ccccc2oc2ccccc12
1351,Nc1nc(-c2csc(N)n2)cs1,c1cc2ccc3ccc4ccc5ccc6ccc1c1c2c3c4c5c61
1352,NC(=O)c1ccncc1,CC[C@H]1[C@H](/C=C(\C#N)N(C)c2ccccc2)C(C#N)(C#N)C1(C#N)C#N
1353,[C-3]C([C-3])([C-3])C[Si]1(CC([C-3])([C-3])[C-3])c2c3c#cc#cc3c(c3c#cc#cc23)[Si]1(CC([C-3])([C-3])[C-3])CC([C-3])([C-3])[C-3],NC(=O)c1ccncc1
1354,Nc1nc(N)c(F)c(Cl)c1F,O=C(O)c1ccc(C(=O)O)cc1
